"approved_date","region","condition_name","brand_name","model_name","mfdate","mileage","mileage_v2","fuel_type","gearbox","price"
"2019-01-08",12,"used",,,"2005","2",,"Diesel",,95000000
"2019-01-09",2,"used",,,"2011","1",,"Diesel",,430000000
"2019-01-23",12,"used",,,"2005","2",,"Diesel",,95000000
"2019-01-10",1,"used","Ford",,"2018","1",,"Diesel","Auto",1250000
"2019-01-14",1,"used","Ford",,"2018","1",,"Diesel","Auto",1250000
"2019-01-01",2,"used","Toyota","Innova","2007","18","89000","Petrol","Manual",340000000
"2019-01-01",7,"used","BMW","X1","2010","16","75000","Petrol","Auto",620000000
"2019-01-01",8,"used","Mazda","BT 50","2014","14","66000","Diesel","Manual",455000000
"2019-01-01",12,"used","Ford","Laser","2004","26","150000","Petrol","Auto",215000000
"2019-01-01",13,"used","Ford","Transit","2006","10","48000","Diesel","Manual",249000000
"2019-01-01",8,"used","Kia","Dòng khác","2007","1","0","Diesel","Manual",168000000
"2019-01-01",2,"used","Ford","EcoSport","2017","10","45000","Petrol","Manual",495000000
"2019-01-01",8,"used","Ford","Focus","2007","29","180000","Petrol","Manual",210000000
"2019-01-01",2,"used","Kia","Pride","2008","24","130000","Petrol","Manual",200000000
"2019-01-01",12,"used","Mitsubishi","Jolie","2006","20","95000","Petrol","Manual",225000000
"2019-01-01",13,"used","Toyota","Corolla Altis","1999","5","20000","Petrol","Manual",100000000
"2019-01-01",13,"new","Toyota","Vios","2019","1","0","Petrol","Auto",586000000
"2019-01-01",13,"used","Chevrolet","Colorado","2018","2","9000","Diesel","Auto",725000000
"2019-01-01",13,"new","Hyundai","Tucson","2019","1","0","Petrol","Auto",280000000
"2019-01-01",9,"used","Ford","Ranger","2016","3","10000","Diesel","Auto",590000000
"2019-01-01",13,"used","Chevrolet","Cruze","2016","11","50000","Petrol","Manual",425000000
"2019-01-01",2,"used","Kia","Morning","2016","7","34000","Petrol","Manual",335000000
"2019-01-01",2,"new","Hyundai","Elantra","2019","1","0","Petrol","Both",545000000
"2019-01-01",5,"used","Mitsubishi","Jolie","2003","1","0","Petrol","Manual",140000000
"2019-01-01",13,"new","Kia","Sorento","2016","1","0","Petrol","Auto",830000000
"2019-01-01",13,"new","Kia","Morning","2019","1","0","Petrol","Manual",290000000
"2019-01-01",13,"used","BMW","M couper","2008","11","50000",,"Auto",350000000
"2019-01-01",12,"used","Kia","Forte","2011","9","40000","Petrol","Auto",425000000
"2019-01-01",12,"used","Ford","Ranger","2017","1","3","Diesel","Auto",830000000
"2019-01-01",13,"used","Mitsubishi","Grandis","2009","15","72859","Petrol","Auto",478000000
"2019-01-01",8,"used","Ford","Mondeo","2004","9","40000","Petrol","Auto",200000000
"2019-01-01",12,"new","Hyundai","Santa Fe","2019","1","0","Petrol","Auto",1135000000
"2019-01-01",9,"used","Daewoo","Lacetti","2010","31","221000","Petrol","Manual",295000000
"2019-01-01",12,"used","Toyota","Vios","2016","9","42000","Petrol","Manual",480000000
"2019-01-01",8,"used","Toyota","Innova","2016","7","32000","Petrol","Manual",615000000
"2019-01-01",12,"used","Ford","Everest","2010","25","140000","Petrol","Auto",525000000
"2019-01-01",4,"used","Kia","Cerato","2010","3","11000","Petrol","Auto",386000000
"2019-01-01",5,"used","Honda","Dòng khác","2018","2","8000","Petrol","Auto",60000000
"2019-01-01",4,"used","Kia","Picanto","2013","18","86568","Petrol","Manual",238000000
"2019-01-01",2,"used","Toyota","Camry","1989","11","50000","Petrol","Auto",145000000
"2019-01-01",2,"used","Ford","EcoSport","2017","9","42000","Petrol","Auto",615000000
"2019-01-01",12,"used","Mazda","323","2005","5","20000","Petrol","Manual",127000000
"2019-01-01",3,"used","Ford","Dòng khác","2018","1","2000","Diesel","Auto",1550000000
"2019-01-01",2,"used","Toyota","Camry","1988","15","70000",,"Auto",90000000
"2019-01-01",7,"used","Kia","Morning","2012","19","92000","Petrol","Manual",215000000
"2019-01-01",12,"used","Chevrolet","Spark","2010","3","10000","Petrol","Manual",160000000
"2019-01-01",9,"used","Ford","Everest","2008","24","138000",,"Manual",380000000
"2019-01-01",13,"used","Daewoo","Nubira","2003","33","300000","Petrol","Manual",115000000
"2019-01-01",3,"used","Hyundai","Tucson","2010","19","90000","Petrol","Auto",568000000
"2019-01-01",11,"used","Hyundai","Tucson","2010","19","90000","Petrol","Auto",568000000
"2019-01-01",12,"used","Ford","Ranger","2015","12","55000","Diesel","Auto",535000000
"2019-01-01",4,"used","Toyota","Camry","2008","11","50000","Petrol","Auto",620000000
